,Kenteken,Voertuigsoort,Merk,Datum eerste toelating DT,Datum
111859,83MNPB,Motorfiets,HONDA,05/21/2021 12:00:00 AM,2021-05-21
111863,83MNPH,Motorfiets,HONDA,01/13/2021 12:00:00 AM,2021-01-13
111869,83MNPR,Motorfiets,HUSQVARNA,01/30/2021 12:00:00 AM,2021-01-30
111871,83MNPT,Motorfiets,BMW,02/19/2021 12:00:00 AM,2021-02-19
111875,83MNRB,Motorfiets,BMW,02/05/2021 12:00:00 AM,2021-02-05
111877,83MNRF,Motorfiets,MOTO GUZZI,04/02/2021 12:00:00 AM,2021-04-02
111880,83MNRK,Motorfiets,BMW,03/02/2021 12:00:00 AM,2021-03-02
111881,83MNRN,Motorfiets,DUCATI,02/24/2021 12:00:00 AM,2021-02-24
111885,83MNRT,Motorfiets,KAWASAKI,02/25/2021 12:00:00 AM,2021-02-25
111886,83MNRV,Motorfiets,KAWASAKI,03/19/2021 12:00:00 AM,2021-03-19
111887,83MNRX,Motorfiets,KTM,03/05/2021 12:00:00 AM,2021-03-05
111888,83MNRZ,Motorfiets,INDIAN MOTORCYCLE,03/06/2021 12:00:00 AM,2021-03-06
111891,83MNSJ,Motorfiets,SUZUKI,04/27/2021 12:00:00 AM,2021-04-27
111894,83MNSN,Motorfiets,BMW,03/12/2021 12:00:00 AM,2021-03-12
111897,83MNSV,Motorfiets,KAWASAKI,03/25/2021 12:00:00 AM,2021-03-25
111898,83MNSX,Motorfiets,DUCATI,03/10/2021 12:00:00 AM,2021-03-10
111899,83MNSZ,Motorfiets,KTM,03/12/2021 12:00:00 AM,2021-03-12
111901,83MNTD,Motorfiets,APRILIA,03/13/2021 12:00:00 AM,2021-03-13
111902,83MNTF,Motorfiets,KTM,03/24/2021 12:00:00 AM,2021-03-24
111903,83MNTG,Motorfiets,KAWASAKI,09/16/2021 12:00:00 AM,2021-09-16
111906,83MNTK,Motorfiets,BMW,03/22/2021 12:00:00 AM,2021-03-22
