,Kenteken,Brandstof omschrijving,Brandstofverbruik buiten de stad,Brandstofverbruik gecombineerd,CO2 uitstoot gecombineerd,CO2 uitstoot gewogen,Elektrisch verbruik enkel elektrisch wltp,Actie radius enkel elektrisch wltp,Actie radius enkel elektrisch stad wltp,Elektrisch verbruik extern opladen wltp,Actie radius extern opladen wltp,Actie radius extern opladen stad wltp,Max vermogen 15 minuten,Max vermogen 60 minuten,Netto max vermogen elektrisch
124000,82MPVP,Benzine,,,,,,,,,,,,,
124001,82MPVR,Benzine,,,,,,,,,,,,,
124117,82MRJH,Benzine,,,,,,,,,,,,,
124180,82MRPP,Benzine,,,,,,,,,,,,,
124181,82MRPR,Benzine,,,,,,,,,,,,,
124204,82MRSP,Benzine,,,,,,,,,,,,,
124240,82MRXJ,Benzine,,,,,,,,,,,,,
154727,83BPP9,Diesel,,,,,,,,,,,,,
154770,83BPV2,Diesel,,,,,,,,,,,,,
154774,83BPV6,Elektriciteit,,,,,,,,,,,,123.0,270.0
154799,83BPZ6,Diesel,,,,,,,,,,,,,
154810,83BRB7,Diesel,,,,,,,,,,,,,
154818,83BRD7,Diesel,,,,,,,,,,,,,
154820,83BRD9,Diesel,,,,,,,,,,,,,
154826,83BRF2,LNG,,,,,,,,,,,,,
154827,83BRF2,Diesel,,,,,,,,,,,,,
154828,83BRF7,Diesel,,,,,,,,,,,,,
154829,83BRF8,Diesel,,,,,,,,,,,,,
154830,83BRF9,Diesel,,,,,,,,,,,,,
154835,83BRG3,Diesel,,,,,,,,,,,,,
154836,83BRG5,Diesel,,,,,,,,,,,,,
154837,83BRG6,Diesel,,,,,,,,,,,,,
154838,83BRG7,Diesel,,,,,,,,,,,,,
154840,83BRG9,Diesel,,,,,,,,,,,,,
154846,83BRH1,Diesel,,,,,,,,,,,,,
154848,83BRH3,Diesel,,,,,,,,,,,,,
154849,83BRH3,CNG,,,,,,,,,,,,,
154850,83BRH4,Diesel,,,,,,,,,,,,,
154851,83BRH5,Diesel,,,,,,,,,,,,,
154852,83BRH6,Diesel,,,,,,,,,,,,,
154853,83BRH7,Diesel,,,,,,,,,,,,,
154854,83BRH8,Diesel,,,,,,,,,,,,,
154855,83BRH9,Diesel,,,,,,,,,,,,,
154864,83BRJ1,Diesel,,,,,,,,,,,,,
154865,83BRJ3,Diesel,,,,,,,,,,,,,
154866,83BRJ4,Diesel,,,,,,,,,,,,,
154868,83BRJ6,Diesel,,,,,,,,,,,,,
154869,83BRJ7,Diesel,,,,,,,,,,,,,
154870,83BRJ8,Diesel,,,,,,,,,,,,,
154871,83BRJ9,Diesel,,,,,,,,,,,,,
154878,83BRK1,Diesel,,,,,,,,,,,,,
154881,83BRK4,Diesel,,,,,,,,,,,,,
154882,83BRK5,Diesel,,,,,,,,,,,,,
154883,83BRK6,Diesel,,,,,,,,,,,,,
154885,83BRK8,Diesel,,,,,,,,,,,,,
154886,83BRK9,Diesel,,,,,,,,,,,,,
154892,83BRL1,Diesel,,,,,,,,,,,,,
154893,83BRL4,Diesel,,,,,,,,,,,,,
154894,83BRL6,Diesel,,,,,,,,,,,,,
154895,83BRL7,Diesel,,,,,,,,,,,,,
154904,83BRN2,Diesel,,,,,,,,,,,,,
154905,83BRN4,Diesel,,,,,,,,,,,,,
154906,83BRN5,Diesel,,,,,,,,,,,,,
154908,83BRN7,Diesel,,,,,,,,,,,,,
154909,83BRN9,LNG,,,,,,,,,,,,,
154917,83BRP4,Diesel,,,,,,,,,,,,,
154918,83BRP6,Diesel,,,,,,,,,,,,,
154919,83BRP7,Diesel,,,,,,,,,,,,,
154932,83BRR8,LNG,,,,,,,,,,,,,
154933,83BRR8,Diesel,,,,,,,,,,,,,
154934,83BRR9,Diesel,,,,,,,,,,,,,
154941,83BRS1,Diesel,,,,,,,,,,,,,
154943,83BRS4,Diesel,,,,,,,,,,,,,
154946,83BRS8,Diesel,,,,,,,,,,,,,
154956,83BRT1,Diesel,,,,,,,,,,,,,
154958,83BRT3,Diesel,,,,,,,,,,,,,
154959,83BRT4,Diesel,,,,,,,,,,,,,
154962,83BRT8,Diesel,,,,,,,,,,,,,
154970,83BRV1,Diesel,,,,,,,,,,,,,
154971,83BRV2,Diesel,,,,,,,,,,,,,
154972,83BRV3,Diesel,,,,,,,,,,,,,
154974,83BRV5,Elektriciteit,,,,,,,,,,,,87.0,125.0
154975,83BRV6,Diesel,,,,,,,,,,,,,
154981,83BRX1,Diesel,,,,,,,,,,,,,
154982,83BRX2,Diesel,,,,,,,,,,,,,
154983,83BRX3,Diesel,,,,,,,,,,,,,
154984,83BRX4,Diesel,,,,,,,,,,,,,
154985,83BRX5,Diesel,,,,,,,,,,,,,
154986,83BRX6,Diesel,,,,,,,,,,,,,
154987,83BRX7,Elektriciteit,,,,,,,,,,,,,150.0
154988,83BRX8,Diesel,,,,,,,,,,,,,
154996,83BRZ2,LNG,,,,,,,,,,,,,
154997,83BRZ2,Diesel,,,,,,,,,,,,,
154998,83BRZ3,Diesel,,,,,,,,,,,,,
154999,83BRZ5,Diesel,,,,,,,,,,,,,
155000,83BRZ6,Diesel,,,,,,,,,,,,,
155003,83BRZ9,Diesel,,,,,,,,,,,,,
155009,83BSB1,Diesel,,,,,,,,,,,,,
155011,83BSB3,Diesel,,,,,,,,,,,,,
